spearman,pearson,rmse,mae,n,config,benchmark,seed
0.5350600340297142,0.5091041258067185,1.7601465320663428,1.2699547988002076,2578,E2,fireport_hf,44
0.6655581522098636,0.6755743936874111,1.3306829803032456,1.0414987508944276,28172,E2,megascale_test,42
0.6634231875399303,0.6716090127428984,1.3165023820792001,1.0231516674033836,28172,E2,megascale_test,43
0.6631762398709357,0.6740350674474285,1.3685428402479192,1.0644543390585666,28172,E2,megascale_test,44
0.43748024957949894,0.4237516960040475,1.6296626974455068,1.193190303384723,669,E2noOOD,s669,42
0.4440440557627374,0.4229066906468466,1.6463096966081467,1.199404830731151,669,E2noOOD,s669,43
0.45215902608565894,0.44098170833406136,1.6160716816659402,1.1893816918680398,669,E2noOOD,s669,44
0.6228394231743799,0.6249629690037708,1.142913415759251,0.8826978685139374,461,E2noOOD,s461,42
0.629232676511414,0.6252582401510633,1.151814957275688,0.880412952541606,461,E2noOOD,s461,43
0.6077987941878243,0.6064652943314809,1.1564186497006435,0.8792376312828237,461,E2noOOD,s461,44
0.638022309258741,0.6213100868722321,1.6343059000745892,1.2024587472546298,783,E2noOOD,s783,42
0.6424236275106906,0.6482075836632052,1.5664830980097966,1.1650667108338455,783,E2noOOD,s783,43
0.6595038150966459,0.6595620238167863,1.5426537788327912,1.1385067044346955,783,E2noOOD,s783,44
0.5830242274502188,0.5666489845824746,1.3493462143326789,1.0145773548032142,2648,E2noOOD,s2648,42
0.5678821291001692,0.5550477070045463,1.4095896349084869,1.0603444325861455,2648,E2noOOD,s2648,43
0.5859475790641604,0.5747026711126753,1.356398577942065,1.0218880892361253,2648,E2noOOD,s2648,44
0.5666453671374263,0.52534796588201,1.7762044910687547,1.214346374190175,8228,E2noOOD,s8754,42
0.5636130314859933,0.5204380455273737,1.8081141377975039,1.2420482807008604,8228,E2noOOD,s8754,43
0.5727854547766096,0.5180659456442862,1.7962526676868802,1.2324534219878525,8228,E2noOOD,s8754,44
0.3607420667091669,0.34549938185768586,8.985851043952472,6.011766343845639,571,E2noOOD,s571,42
0.39569617634390886,0.3659459612740389,8.94259983390376,5.983658988945408,571,E2noOOD,s571,43
0.3589889239302625,0.34864365556917154,8.954802033453644,6.00167598610584,571,E2noOOD,s571,44
0.4995763722302359,0.46108248243860783,7.609742403653813,4.7541167661298935,3969,E2noOOD,s4346,42
0.4750826438963429,0.4314286075530811,7.5953917754809535,4.742058658208834,3969,E2noOOD,s4346,43
0.4905923907806354,0.45431408268314205,7.580243390108476,4.73351220639118,3969,E2noOOD,s4346,44
0.5307169473980232,0.4971934233596075,1.4499522773619518,1.028493205749849,342,E2noOOD,ssym_direct,42
0.49991862742864707,0.46905214244145305,1.5429868253096743,1.092765279353885,342,E2noOOD,ssym_direct,43
0.5577373293147112,0.5381581679188739,1.4115452378598556,1.0281864714138864,342,E2noOOD,ssym_direct,44
0.33142295038246755,0.36651317853066195,1.756791727837258,1.3081177092369711,342,E2noOOD,ssym_inverse,42
0.38982246954491095,0.4139715395806699,1.7741560969149242,1.3198108334224998,342,E2noOOD,ssym_inverse,43
